TIMESTAMP_START,TIMESTAMP_END,FC,CO2,CO2_MIXING_RATIO,H2O,H2O_MIXING_RATIO,CH4,CH4_MIXING_RATIO,TAU,H,LE,TA,PA,RH,T_SONIC,VPD,MO_LENGTH,ZL,WS,WD,USTAR,WS_MAX,SW_IN,SW_OUT,LW_IN,LW_OUT,ALB,NETRAD,PPFD_IN,PPFD_OUT,P,G_1_1_1,G_2_1_1,G_3_1_1,SWC_1_1_1,SWC_2_1_1,SWC_3_1_1,SWC_4_1_1,SWC_5_1_1,SWC_6_1_1,SWC_7_1_1,SWC_8_1_1,SWC_9_1_1,SWC_10_1_1,SWC_11_1_1,SWC_12_1_1,TS_1_1_1,TS_2_1_1,TS_3_1_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_6_1_1,TS_6_2_1,TS_6_3_1,TS_6_4_1,TS_6_5_1,TS_7_1_1,TS_8_1_1,TS_9_1_1,TS_10_1_1,TS_11_1_1,TS_12_1_1,TS_13_1_1,TS_14_1_1,TS_15_1_1,TS_16_1_1,TS_17_1_1,TS_18_1_1
202201150000,202201150030,1.62637,409.069,411.796,6.62231,6.66645,CH4,CH4_MIXING_RATIO,-0.0264631,-21.4865,LE,283.188,97.4329,52.5833,285.943,VPD,13.1129,0.205905,1.78497,359.886,0.148772,3.35876,1.455962,-0.1948921,336.96,361.7213,-0.1201231,-23.0809,4.645064,0.3904448,0.0,-1.729349,-4.183127,-5.330603,0.4199066,0.2493767,0.39822,0.1838367,0.3854367,0.15981,0.4203867,0.2740267,0.4648333,0.3184233,0.4548,0.2971433,7.776241,8.056086,8.273005,7.3,7.1,6.9,8.2,10.7,7.4,7.0,6.9,8.2,10.4,7.1,7.0,6.9,8.0,10.3,7.664397,7.332323,8.053809,7.809743,7.97515,8.066463,7.669563,7.420916,7.635467,7.262996,7.254053,7.107503
202201150030,202201150100,-1.14107,409.119,411.836,6.59786,6.64168,CH4,CH4_MIXING_RATIO,-0.0430141,-41.3182,LE,281.707,97.5061,57.9276,284.611,VPD,14.0115,0.192699,3.2953,334.924,0.189105,5.21242,-2.87504,-1.479814,331.5669,356.0941,0.5149055,-25.88861,0.03926514,-0.1328322,0.0,0.3269033,-2.852749,-1.285572,0.4199,0.24959,0.3982,0.1839967,0.38541,0.1598167,0.42059,0.27404,0.4648266,0.3184066,0.4551133,0.2975233,7.713159,8.043079,8.115099,7.2,7.2,6.9,8.2,10.7,7.3,7.0,6.9,8.2,10.4,7.1,7.0,6.9,8.0,10.3,7.680413,7.37501,8.06588,7.83032,7.992103,8.084936,7.684433,7.44944,7.642993,7.295413,7.271156,7.135847
202201150100,202201150130,-1.81574,408.126,410.754,6.39853,6.43973,CH4,CH4_MIXING_RATIO,-0.530225,-43.5771,LE,281.319,97.6176,57.7407,284.078,VPD,573.176,0.00471059,8.32361,331.661,0.663076,20.268,-4.241484,-1.5714,298.6772,347.2565,0.3707469,-51.23328,0.007853404,-0.1489445,0.0,2.650168,-2.024928,2.214091,0.4199767,0.24969,0.3984633,0.1842033,0.38545,0.15982,0.4207033,0.27401,0.46481,0.3184066,0.4553,0.2975067,7.6809,7.987204,7.951394,7.2,7.2,7.0,8.2,10.7,7.3,7.0,6.9,8.2,10.4,7.0,7.0,7.0,8.0,10.3,7.688326,7.400617,8.077456,7.853056,8.00992,8.08503,7.6987,7.459533,7.65774,7.320063,7.284423,7.160353
202201150130,202201150200,-1.57001,406.204,408.627,5.92964,5.96502,CH4,CH4_MIXING_RATIO,-0.966022,-21.2578,LE,279.816,97.742294,59.3784,282.581,VPD,2862.42,0.000943259,12.3158,340.32,0.891964,23.5161,-2.783677,-1.859643,331.6996,351.9047,0.6666137,-21.19272,0.01374489,-0.1811617,0.0,4.032632,0.3967805,5.648881,0.4204133,0.2496867,0.39872,0.1844433,0.38598,0.1598067,0.4207067,0.2740166,0.46482,0.3184066,0.4553,0.2975,7.576323,7.900649,7.74177,7.1,7.1,7.0,8.2,10.7,7.2,7.0,6.9,8.2,10.4,7.0,7.0,7.0,8.1,10.3,7.69303,7.416983,8.089123,7.867183,8.029676,8.075807,7.711203,7.480893,7.666049,7.322806,7.30327,7.188383
202201150200,202201150230,-0.710254,405.85,408.236,5.8447,5.87906,CH4,CH4_MIXING_RATIO,-0.752148,-49.4965,LE,278.854,97.82079,62.602,281.671,VPD,839.648,0.00321563,10.3136,342.646,0.785373,17.8139,-2.972275,-2.219887,327.3333,348.291,0.7473801,-21.66962,0.03730815,-0.1811646,0.0,4.390704,0.7803046,4.919384,0.4204533,0.2497633,0.3987466,0.18426,0.386,0.15983,0.4207,0.27403,0.4647966,0.3184066,0.4553,0.2975034,7.500431,7.805001,7.602259,7.0,7.1,7.0,8.2,10.7,7.2,7.0,7.0,8.2,10.4,7.0,7.0,7.0,8.0,10.3,7.713846,7.42629,8.102449,7.862983,8.042233,8.05332,7.733193,7.4804,7.679056,7.328406,7.320937,7.200586
202201150230,202201150300,-3.09509,406.193,408.535,5.7332,5.76626,CH4,CH4_MIXING_RATIO,-1.0784,-28.4087,LE,278.036,97.914795,65.0642,280.923,VPD,2498.35,0.00108071,10.8786,345.563,0.938553,20.9978,-3.060009,-1.948914,315.2501,343.5241,0.6365032,-29.41318,0.03141743,-0.1831781,0.0,5.222189,1.805337,6.007232,0.4204433,0.2496633,0.3987266,0.18409,0.386,0.1598367,0.4207033,0.27402,0.4648,0.3184,0.4553,0.2975133,7.454124,7.695334,7.469751,7.0,7.1,7.0,8.2,10.7,7.1,7.0,7.0,8.2,10.4,6.9,7.0,7.0,8.1,10.3,7.723413,7.42454,8.123926,7.855977,8.06695,8.019167,7.738076,7.48501,7.69245,7.325157,7.333396,7.206086
202201150300,202201150330,-0.484521,406.835,409.134,5.61855,5.65029,CH4,CH4_MIXING_RATIO,-0.766231,-40.2062,LE,277.522,97.9603,66.1258,280.425,VPD,1053.85,0.00256204,9.72668,344.641,0.7902,18.6374,-2.99281,-1.949017,315.4774,340.1577,0.6519317,-25.7117,0.01178211,-0.2153989,0.0,7.449778,3.247606,8.730948,0.4204533,0.2496633,0.3987266,0.1839467,0.3860033,0.1598233,0.4207,0.2740267,0.4647933,0.3184066,0.4553,0.2975067,7.355808,7.578161,7.298992,6.9,7.1,7.0,8.2,10.7,7.1,7.0,7.0,8.2,10.4,6.9,7.0,7.0,8.0,10.3,7.741196,7.40905,8.129466,7.85617,8.08427,7.977196,7.75126,7.47022,7.705453,7.312903,7.343023,7.191533
202201150330,202201150400,0.198125,407.439,409.754,5.65048,5.68259,CH4,CH4_MIXING_RATIO,-0.671977,-43.9335,LE,277.009,98.041,69.0005,279.836,VPD,789.382,0.0034204,10.0921,337.764,0.739019,18.5067,-2.782827,-1.695383,315.3005,337.6583,0.608571,-23.4776,0.03338596,-0.2335354,0.0,8.703687,4.218565,10.23396,0.4204267,0.2496667,0.39872,0.18381,0.386,0.1598433,0.4207,0.27403,0.4647933,0.31841,0.4553,0.29751,7.223859,7.445564,7.096219,6.9,7.1,7.1,8.2,10.7,7.0,6.9,7.0,8.2,10.4,6.7,7.0,7.0,8.1,10.3,7.744723,7.391867,8.141717,7.840953,8.103427,7.935703,7.766296,7.46149,7.728509,7.29718,7.36804,7.178466
202201150400,202201150430,-1.5259,411.912,414.242,5.62469,5.6565,CH4,CH4_MIXING_RATIO,-0.739162,-13.2162,LE,275.833,98.086395,74.6761,278.617,VPD,3006.84,0.000897953,11.036,336.615,0.773254,19.1298,-2.822134,-1.998973,322.7177,336.1786,0.7080023,-14.29263,0.01963917,-0.2234739,0.0,8.576224,4.980141,11.33784,0.4204167,0.2496233,0.39871,0.18381,0.386,0.1598633,0.4207,0.2740367,0.4649667,0.3184233,0.4553,0.2975233,7.122413,7.293983,6.89727,6.7,7.0,7.1,8.2,10.7,7.0,6.9,7.0,8.2,10.4,6.7,6.9,7.1,8.1,10.3,7.763663,7.368143,8.160486,7.815496,8.113644,7.880036,7.78183,7.445033,7.734163,7.27056,7.376777,7.16282
202201150430,202201150500,-7.17359,413.326,415.65,5.59039,5.62182,CH4,CH4_MIXING_RATIO,-0.722251,-28.1893,LE,275.162,98.104706,77.8691,277.778,VPD,1356.4,0.00199056,10.8706,337.616,0.763351,19.727,-2.980281,-2.115168,319.1273,331.643,0.7099767,-13.38486,0.04909801,-0.2395806,0.0,9.372125,5.703533,12.46443,0.4204133,0.24929,0.39871,0.18381,0.386,0.15988,0.4207,0.2739833,0.46527,0.3184333,0.4553,0.29713,7.010602,7.163278,6.720675,6.6,7.0,7.1,8.2,10.7,6.9,6.9,7.0,8.2,10.4,6.6,6.9,7.1,8.1,10.3,7.778103,7.330946,8.170199,7.7908,8.130933,7.826419,7.798613,7.42768,7.757416,7.243929,7.395707,7.142643
